"pid","bid","labelid","wgt_gain_after_train","pct_body_fat_change","pct_body_lean_change","pct_body_fluid_change","lactate_change_dueto_train","vo2_max_change","EDTA_coll_time_train","deathtime_after_train","frozetime_after_train"
11965533,90672,90672017901,21.1,-1.8,-0.9,-0.6,4.7,,182598,182858,183253
11019867,,,,,,,,,,,
10046895,90271,90271013001,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,189251
10046895,90271,90271013002,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,189251
10046895,90271,90271013101,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,
10046895,90271,90271013103,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,
10046895,90271,90271013201,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,
10046895,90271,90271013202,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,
10046895,90271,90271013301,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181936
10046895,90271,90271013401,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181959
10046895,90271,90271013402,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181950
10046895,90271,90271013501,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181887
10046895,90271,90271013601,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181623
10046895,90271,90271013701,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,182111
10046895,90271,90271013801,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,182241
10046895,90271,90271013901,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181806
10046895,90271,90271014001,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181911
10046895,90271,90271014101,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181966
10046895,90271,90271014201,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,182039
10046895,90271,90271014301,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181922
10046895,90271,90271014501,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,182085
10046895,90271,90271014601,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181983
10046895,90271,90271014701,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181683
10046895,90271,90271014901,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181820
10046895,90271,90271015001,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,182041
10046895,90271,90271015101,14.7,-1.6,2.5,0.2,11.5,1.46,181511,181772,181725
11484357,90627,90627013001,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,184892
11484357,90627,90627013002,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,184892
11484357,90627,90627013101,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,
11484357,90627,90627013102,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,
11484357,90627,90627013103,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,
11484357,90627,90627013201,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,
11484357,90627,90627013202,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,
11484357,90627,90627013301,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178116
11484357,90627,90627013401,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178150
11484357,90627,90627013402,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178134
11484357,90627,90627013501,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178060
11484357,90627,90627013601,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177784
11484357,90627,90627013701,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178188
11484357,90627,90627013801,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178332
11484357,90627,90627013901,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177942
11484357,90627,90627014001,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178013
11484357,90627,90627014101,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178032
11484357,90627,90627014201,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178134
11484357,90627,90627014301,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178023
11484357,90627,90627014501,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178172
11484357,90627,90627014601,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178109
11484357,90627,90627014701,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177858
11484357,90627,90627014801,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178106
11484357,90627,90627014901,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177953
11484357,90627,90627015001,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178154
11484357,90627,90627015101,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177896
11484357,90627,90627017101,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177757
11484357,90627,90627017201,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,177774
11484357,90627,90627017401,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178153
11484357,90627,90627017501,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178493
11484357,90627,90627017601,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178389
11484357,90627,90627017701,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178411
11484357,90627,90627017801,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178328
11484357,90627,90627017901,-0.5,-2.6,-1.0,-1.2,7.8,14.73,177645,177909,178298
12667560,90714,90714013001,,,,,,,91327,91558,98570
12667560,90714,90714013002,,,,,,,91327,91558,98570
12667560,90714,90714013101,,,,,,,91327,91558,
12667560,90714,90714013102,,,,,,,91327,91558,
12667560,90714,90714013103,,,,,,,91327,91558,
12667560,90714,90714013201,,,,,,,91327,91558,
12667560,90714,90714013202,,,,,,,91327,91558,
