"participantGUID","visitGUID","d_visit","days_visit","staffID","siteGUID","siteID","pid","visitcode","formGUID","FormName","versionGUID","versionNbr","anesthesiaid","t_anesthesia","anesthesiacomments","bloodtype","bloodtube","bloodcomplete","bloodtechid","t_bloodstart","t_bloodstop","t_edtafill","bloodcomments","uterustype","uterustechid","uteruscomplete","t_uterusstart","t_uterusstop","uterusweight","uteruscomments","t_death","deathtype"
"07AF7369-F082-4CA7-99D5-D973F4A162C9","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044337,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:49:48",,"EDTA","Draw",1,1333,"13:52:52","13:53:30","13:53:45",,,,,,,,,"13:59:03",2
"EA9F5180-5F6B-496B-BED6-9E442508727E","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","02OCT2018",92,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044418,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:41:50",,"EDTA","Draw",2,1333,"11:43:36","11:44:00","11:44:30",,,,,,,,,"11:50:07",2
"2479BEE5-2A38-4D09-B15B-B1715F561A9F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","02OCT2018",92,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044760,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:02:15",,"EDTA","Draw",2,1333,"12:05:31","12:07:11","12:07:29",,,,,,,,,"12:12:20",2
"FC9D810E-D889-4A63-8FF7-9C099F709AE5","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","02OCT2018",92,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044841,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:24:08",,"EDTA","Draw",1,1333,"12:27:00","12:27:21","12:27:40",,,,,,,,,"12:32:09",2
"22CEB023-3001-4E2D-9704-D4C651378D27","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","02OCT2018",92,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044922,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:44:39",,"EDTA","Draw",2,1333,"12:46:52","12:47:34","12:47:46",,,,,,,,,"12:52:36",2
"55A3F158-4C39-4525-BEC7-8AA6BEA89EA2","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","02OCT2018",92,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045066,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:04:30",,"EDTA","Draw",4,1333,,,,"Not possible to collect blood from this animal",,,,,,,,"13:13:16",2
"0A4A7935-3AF4-463F-84E3-DCF07671509D","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045228,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:34:25",,"EDTA","Draw",1,1333,"11:36:38","11:36:54","11:37:08",,,,,,,,,"11:42:34",2
"04C84D7E-FC8C-422F-AE4B-CAFADB63407B","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045309,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:54:33",,"EDTA","Draw",1,1333,"11:57:18","11:57:32","11:57:49",,,,,,,,,"12:02:36",2
"70E0DCB0-DC26-45CC-B462-F3719E223B02","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045570,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:15:16",,"EDTA","Draw",1,1333,"12:17:16","12:17:30","12:17:43",,,,,,,,,"12:23:08",2
"EBBEAE90-9621-4590-B6DA-9C95DB546010","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045651,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:35:35",,"EDTA","Draw",1,1333,"12:38:15","12:38:44","12:39:02",,,,,,,,,"12:44:23",2
