"recid","FormName","formguid","versionguid","versionnbr","siteguid","siteid","environmentguid","environmentdateentered","environmenttemp","environmenthumidity"
691,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C15B86F1-FFE7-4D39-A8D2-2EC54E7AA8AE","22JUL2018:00:00:00.000",22.2,64.5
692,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"FE4AE5AB-2206-4A34-B15E-7DD722AD64BF","23JUL2018:00:00:00.000",22.1,65.6
693,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"BD0FBBA4-D864-4FD4-AF60-517368986C2D","24JUL2018:00:00:00.000",22.2,64.7
694,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"118C7710-4A30-4253-A559-CC8018930104","25JUL2018:00:00:00.000",22.2,64.3
695,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"291F2F97-CFAA-42AD-8CB9-42D6789AB084","26JUL2018:00:00:00.000",22.2,62.5
696,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"6CD5EA5B-C8E4-4CB3-BEF7-A64111B8685D","27JUL2018:00:00:00.000",22.2,61.0
697,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"D0D2261C-2095-4C4A-AA87-B1956F29815A","28JUL2018:00:00:00.000",22.2,62.2
698,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"016E239F-080A-4A56-9D39-B3F621F59AA4","29JUL2018:00:00:00.000",22.2,63.8
699,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"02EDBF9F-7997-4ADA-B255-BAF60B1AD1CB","30JUL2018:00:00:00.000",22.1,60.7
700,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"AA733B6F-DADB-4C3C-9CA0-E4B07B120266","31JUL2018:00:00:00.000",22.2,55.0
701,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"16350A2A-1812-43BC-AFB3-8890CA131565","01AUG2018:00:00:00.000",22.2,55.7
702,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"1794AD9C-5D37-4EDC-B2DD-349B62FDACC4","02AUG2018:00:00:00.000",22.2,54.6
703,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"549E5BD6-CFA3-4EAC-B052-C3D4973B2D0C","03AUG2018:00:00:00.000",22.2,57.6
704,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3655E291-1D31-407C-AC74-48A185E284E8","04AUG2018:00:00:00.000",22.2,56.8
705,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"6616313F-FDF5-40B9-8911-5B5E99E47100","05AUG2018:00:00:00.000",22.3,57.2
706,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"5B7FB2D7-3537-49A1-BE2C-6BC2D234C74A","06AUG2018:00:00:00.000",22.3,58.1
707,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"D2D5A354-47F4-457C-8BC6-078B0757606B","07AUG2018:00:00:00.000",22.3,58.4
708,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"FF32D494-D428-4D00-8795-F36828B0CF0A","08AUG2018:00:00:00.000",22.3,56.7
709,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"82D2ED2F-70F9-4DD0-8244-CD7B0027C295","09AUG2018:00:00:00.000",22.3,58.0
710,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"DD59C8AB-89E8-4D6E-9EA2-3BA02A73226F","10AUG2018:00:00:00.000",22.3,59.1
