"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"Animal Training","*",999,"Day 9 date is missing.","Day 9 date is missing.","control=0 and (day9date_rtra=. or day9_weight_rtra=. or day9_posttrainlact_rtra=. or day9_score_rtra=. or day9_timeontreadmill_rtra=. or day9_treadmillincline_rtra=. or day9_treadmillspeed_rtra=.) and day9date_rtra =.","DAY9DATE_RTRA|DAY9_WEIGHT_RTRA|DAY9_POSTTRAINLACT_RTRA|DAY9_SCORE_RTRA|DAY9_TIMEONTREADMILL_RTRA|DAY9_TREADMILLINCLINE_RTRA|DAY9_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 9 score is missing.","Day 9 score is missing.","control=0 and (day9date_rtra=. or day9_weight_rtra=. or day9_posttrainlact_rtra=. or day9_score_rtra=. or day9_timeontreadmill_rtra=. or day9_treadmillincline_rtra=. or day9_treadmillspeed_rtra=.) and day9_score_rtra =.","DAY9DATE_RTRA|DAY9_WEIGHT_RTRA|DAY9_POSTTRAINLACT_RTRA|DAY9_SCORE_RTRA|DAY9_TIMEONTREADMILL_RTRA|DAY9_TREADMILLINCLINE_RTRA|DAY9_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day1 posttrainlact value is missing.","Excercise rat without a day1 posttrainlact","control=0 and day1_posttrainlact_RTRA = . and day1date_RTRA=.","DAY1_POSTTRAINLACT_RTRA|DAY1DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day10 posttrainlact value is missing.","Excercise rat without a day10 posttrainlact","control=0 and day10_posttrainlact_RTRA = . and day10date_RTRA=.","DAY10_POSTTRAINLACT_RTRA|DAY10DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day11 posttrainlact value is missing.","Excercise rat without a day11 posttrainlact","control=0 and day11_posttrainlact_RTRA = . and day11date_RTRA=.","DAY11_POSTTRAINLACT_RTRA|DAY11DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day15 posttrainlact value is missing.","Excercise rat without a day15 posttrainlact","control=0 and day15_posttrainlact_RTRA = . and day15date_RTRA=.","DAY15_POSTTRAINLACT_RTRA|DAY15DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day16 posttrainlact value is missing.","Excercise rat without a day16 posttrainlact","control=0 and day16_posttrainlact_RTRA = . and day16date_RTRA=.","DAY16_POSTTRAINLACT_RTRA|DAY16DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day20 posttrainlact value is missing.","Excercise rat without a day20 posttrainlact","control=0 and day20_posttrainlact_RTRA = . and day20date_RTRA=.","DAY20_POSTTRAINLACT_RTRA|DAY20DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day21 posttrainlact value is missing.","Excercise rat without a day21 posttrainlact","control=0 and day21_posttrainlact_RTRA = . and day21date_RTRA=.","DAY21_POSTTRAINLACT_RTRA|DAY21DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day25 posttrainlact value is missing.","Excercise rat without a day25 posttrainlact","control=0 and day25_posttrainlact_RTRA = . and day25date_RTRA=.","DAY25_POSTTRAINLACT_RTRA|DAY25DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
